"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"18/09/2020","62,30","61,99","-1,32","61,76","63,45","371,53M"
"17/09/2020","62,35","62,82","-0,19","62,00","63,15","178,77M"
"16/09/2020","64,24","62,94","-1,78","62,94","65,25","278,71M"
"15/09/2020","63,70","64,08","1,18","62,94","64,49","247,43M"
"14/09/2020","63,00","63,33","2,00","62,61","63,79","210,04M"
"11/09/2020","63,07","62,09","-0,53","61,63","64,42","453,44M"
"10/09/2020","64,90","62,42","-3,87","62,42","64,90","264,96M"
"09/09/2020","63,51","64,93","3,06","63,26","65,47","295,25M"
"08/09/2020","64,19","63,00","-2,31","62,60","64,19","310,14M"
"04/09/2020","65,00","64,49","0,09","61,87","65,15","467,37M"
"03/09/2020","66,70","64,43","-3,56","63,40","67,22","442,43M"
"02/09/2020","67,20","66,81","-0,18","65,94","68,13","351,32M"
"01/09/2020","65,70","66,93","3,57","65,19","67,10","263,30M"
"31/08/2020","67,12","64,62","-3,83","64,62","67,12","261,55M"
"28/08/2020","66,80","67,19","1,36","66,09","67,98","258,11M"
"27/08/2020","66,90","66,29","-0,21","65,52","67,29","227,74M"
"26/08/2020","68,29","66,43","-2,72","65,80","68,74","459,40M"
"25/08/2020","66,56","68,29","2,74","66,56","68,54","341,05M"
"24/08/2020","67,76","66,47","-1,67","66,25","68,60","348,82M"
"21/08/2020","67,11","67,60","0,57","66,10","67,61","306,62M"
"20/08/2020","64,99","67,22","2,03","64,21","67,94","489,31M"
"19/08/2020","68,01","65,88","-2,69","65,76","68,45","357,26M"
"18/08/2020","69,29","67,70","-0,40","67,32","69,33","358,38M"
"17/08/2020","68,99","67,97","-1,73","67,15","69,59","322,11M"
"14/08/2020","68,97","69,17","0,39","68,21","70,43","308,92M"
"13/08/2020","68,50","68,90","1,32","68,40","70,92","516,03M"
"12/08/2020","68,10","68,00","0,94","66,11","68,45","317,50M"
"11/08/2020","69,47","67,37","-2,35","67,37","69,93","271,41M"
"10/08/2020","68,54","68,99","0,79","67,29","69,36","245,27M"
"07/08/2020","69,03","68,45","-1,98","68,18","70,19","325,20M"
"06/08/2020","68,59","69,83","2,39","68,31","69,89","279,06M"
"05/08/2020","67,89","68,20","2,11","67,55","69,28","367,50M"
"04/08/2020","65,90","66,79","0,33","65,50","67,53","422,05M"
"03/08/2020","67,36","66,57","-1,16","66,10","67,53","371,31M"
"31/07/2020","68,39","67,35","-0,96","67,00","68,60","288,07M"
"30/07/2020","66,13","68,00","1,52","64,60","68,00","284,79M"
"29/07/2020","67,76","66,98","-0,31","66,00","68,04","422,77M"
"28/07/2020","69,80","67,19","-3,95","67,10","69,85","442,53M"
"27/07/2020","67,81","69,95","5,06","67,73","71,02","502,03M"
"24/07/2020","66,68","66,58","-0,40","65,28","67,69","434,51M"
"23/07/2020","67,87","66,85","-1,79","66,48","69,66","664,98M"
"22/07/2020","62,58","68,07","13,89","62,39","68,77","1,17B"
"21/07/2020","60,38","59,76","0,18","58,89","60,91","298,44M"
"20/07/2020","58,29","59,65","2,89","58,09","60,02","273,45M"
"17/07/2020","54,92","57,98","6,49","54,59","58,35","365,55M"
"16/07/2020","54,03","54,44","0,37","53,57","55,61","277,64M"
"15/07/2020","54,43","54,24","0,67","53,97","54,56","250,20M"
"14/07/2020","54,39","53,88","-1,73","53,72","55,47","279,27M"
"13/07/2020","54,69","54,83","0,44","54,49","55,78","278,59M"
"10/07/2020","54,48","54,59","0,44","53,82","55,11","198,18M"